Dataset,StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
MID,2026-01-05T23:00:00Z,APXMIDP,2026-01-05,47,96.26,2533.200
MID,2026-01-05T23:00:00Z,N2EXMIDP,2026-01-05,47,0.00,0.000
MID,2026-01-05T22:30:00Z,APXMIDP,2026-01-05,46,101.96,2929.600
MID,2026-01-05T22:30:00Z,N2EXMIDP,2026-01-05,46,0.00,0.000
MID,2026-01-05T22:00:00Z,APXMIDP,2026-01-05,45,106.97,2889.050
MID,2026-01-05T22:00:00Z,N2EXMIDP,2026-01-05,45,0.00,0.000
MID,2026-01-05T21:30:00Z,APXMIDP,2026-01-05,44,105.01,3061.450
MID,2026-01-05T21:30:00Z,N2EXMIDP,2026-01-05,44,0.00,0.000
MID,2026-01-05T21:00:00Z,APXMIDP,2026-01-05,43,116.73,3612.700
MID,2026-01-05T21:00:00Z,N2EXMIDP,2026-01-05,43,0.00,0.000
MID,2026-01-05T20:30:00Z,APXMIDP,2026-01-05,42,138.39,4991.000
MID,2026-01-05T20:30:00Z,N2EXMIDP,2026-01-05,42,0.00,0.000
MID,2026-01-05T20:00:00Z,APXMIDP,2026-01-05,41,152.71,6184.200
MID,2026-01-05T20:00:00Z,N2EXMIDP,2026-01-05,41,0.00,0.000
MID,2026-01-05T19:30:00Z,APXMIDP,2026-01-05,40,161.96,6704.800
MID,2026-01-05T19:30:00Z,N2EXMIDP,2026-01-05,40,0.00,0.000
MID,2026-01-05T19:00:00Z,APXMIDP,2026-01-05,39,188.74,6331.500
MID,2026-01-05T19:00:00Z,N2EXMIDP,2026-01-05,39,0.00,0.000
MID,2026-01-05T18:30:00Z,APXMIDP,2026-01-05,38,215.59,7746.300
MID,2026-01-05T18:30:00Z,N2EXMIDP,2026-01-05,38,0.00,0.000
MID,2026-01-05T18:00:00Z,APXMIDP,2026-01-05,37,189.76,6537.550
MID,2026-01-05T18:00:00Z,N2EXMIDP,2026-01-05,37,0.00,0.000
