PublishTime,StartTime,SettlementDate,SettlementPeriod,InitialDemandOutturn,InitialTransmissionSystemDemandOutturn
2026-05-30T20:30:00Z,2026-05-30T20:00:00Z,2026-05-30,43,24600,26029
2026-05-30T21:00:00Z,2026-05-30T20:30:00Z,2026-05-30,44,24808,26320
2026-05-30T21:30:00Z,2026-05-30T21:00:00Z,2026-05-30,45,24161,25676
2026-05-30T22:00:00Z,2026-05-30T21:30:00Z,2026-05-30,46,23477,24899
2026-05-30T22:30:00Z,2026-05-30T22:00:00Z,2026-05-30,47,22593,23905
2026-05-30T23:00:00Z,2026-05-30T22:30:00Z,2026-05-30,48,22013,23296
2026-05-30T23:30:00Z,2026-05-30T23:00:00Z,2026-05-31,1,21678,22909
2026-05-31T00:00:00Z,2026-05-30T23:30:00Z,2026-05-31,2,20833,21922
2026-05-31T00:30:00Z,2026-05-31T00:00:00Z,2026-05-31,3,20480,21537
2026-05-31T01:00:00Z,2026-05-31T00:30:00Z,2026-05-31,4,19956,20974
2026-05-31T01:30:00Z,2026-05-31T01:00:00Z,2026-05-31,5,19664,20859
2026-05-31T02:00:00Z,2026-05-31T01:30:00Z,2026-05-31,6,18997,20093
2026-05-31T02:30:00Z,2026-05-31T02:00:00Z,2026-05-31,7,18535,19609
2026-05-31T03:00:00Z,2026-05-31T02:30:00Z,2026-05-31,8,18401,19432
2026-05-31T03:30:00Z,2026-05-31T03:00:00Z,2026-05-31,9,18005,19069
2026-05-31T04:00:00Z,2026-05-31T03:30:00Z,2026-05-31,10,17410,18428
2026-05-31T04:30:00Z,2026-05-31T04:00:00Z,2026-05-31,11,16891,18256
2026-05-31T05:00:00Z,2026-05-31T04:30:00Z,2026-05-31,12,16604,17998
2026-05-31T05:30:00Z,2026-05-31T05:00:00Z,2026-05-31,13,16692,18242
2026-05-31T06:00:00Z,2026-05-31T05:30:00Z,2026-05-31,14,16450,18149
2026-05-31T06:30:00Z,2026-05-31T06:00:00Z,2026-05-31,15,16603,18344
2026-05-31T07:00:00Z,2026-05-31T06:30:00Z,2026-05-31,16,16274,17999
2026-05-31T07:30:00Z,2026-05-31T07:00:00Z,2026-05-31,17,16893,18409
2026-05-31T08:00:00Z,2026-05-31T07:30:00Z,2026-05-31,18,16902,18517
2026-05-31T08:30:00Z,2026-05-31T08:00:00Z,2026-05-31,19,17123,18648
2026-05-31T09:00:00Z,2026-05-31T08:30:00Z,2026-05-31,20,16883,18342
2026-05-31T09:30:00Z,2026-05-31T09:00:00Z,2026-05-31,21,17181,18554
2026-05-31T10:00:00Z,2026-05-31T09:30:00Z,2026-05-31,22,17026,18505
2026-05-31T10:30:00Z,2026-05-31T10:00:00Z,2026-05-31,23,17385,18743
2026-05-31T11:00:00Z,2026-05-31T10:30:00Z,2026-05-31,24,17234,18610
2026-05-31T11:30:00Z,2026-05-31T11:00:00Z,2026-05-31,25,17263,18672
2026-05-31T12:00:00Z,2026-05-31T11:30:00Z,2026-05-31,26,16970,18399
2026-05-31T12:30:00Z,2026-05-31T12:00:00Z,2026-05-31,27,16700,18302
2026-05-31T13:00:00Z,2026-05-31T12:30:00Z,2026-05-31,28,16091,18102
2026-05-31T13:30:00Z,2026-05-31T13:00:00Z,2026-05-31,29,15766,18065
2026-05-31T14:00:00Z,2026-05-31T13:30:00Z,2026-05-31,30,15740,18137
2026-05-31T14:30:00Z,2026-05-31T14:00:00Z,2026-05-31,31,16067,18173
2026-05-31T15:00:00Z,2026-05-31T14:30:00Z,2026-05-31,32,16442,18756
2026-05-31T15:30:00Z,2026-05-31T15:00:00Z,2026-05-31,33,17759,19258
2026-05-31T16:00:00Z,2026-05-31T15:30:00Z,2026-05-31,34,18960,20412
2026-05-31T16:30:00Z,2026-05-31T16:00:00Z,2026-05-31,35,20159,22553
2026-05-31T17:00:00Z,2026-05-31T16:30:00Z,2026-05-31,36,21801,24462
2026-05-31T17:30:00Z,2026-05-31T17:00:00Z,2026-05-31,37,22762,25965
2026-05-31T18:00:00Z,2026-05-31T17:30:00Z,2026-05-31,38,23214,26563
2026-05-31T18:30:00Z,2026-05-31T18:00:00Z,2026-05-31,39,24121,27794
2026-05-31T19:00:00Z,2026-05-31T18:30:00Z,2026-05-31,40,24449,28107
2026-05-31T19:30:00Z,2026-05-31T19:00:00Z,2026-05-31,41,24579,28156
2026-05-31T20:00:00Z,2026-05-31T19:30:00Z,2026-05-31,42,24608,28185
2026-05-31T20:30:00Z,2026-05-31T20:00:00Z,2026-05-31,43,24483,27592
2026-05-31T21:00:00Z,2026-05-31T20:30:00Z,2026-05-31,44,24247,27256
2026-05-31T21:30:00Z,2026-05-31T21:00:00Z,2026-05-31,45,24013,26576
2026-05-31T22:00:00Z,2026-05-31T21:30:00Z,2026-05-31,46,23113,25635
2026-05-31T22:30:00Z,2026-05-31T22:00:00Z,2026-05-31,47,21724,25116
2026-05-31T23:00:00Z,2026-05-31T22:30:00Z,2026-05-31,48,21534,24611
2026-05-31T23:30:00Z,2026-05-31T23:00:00Z,2026-06-01,1,21151,23842
2026-06-01T00:00:00Z,2026-05-31T23:30:00Z,2026-06-01,2,20992,23551
2026-06-01T00:30:00Z,2026-06-01T00:00:00Z,2026-06-01,3,20791,23439
2026-06-01T01:00:00Z,2026-06-01T00:30:00Z,2026-06-01,4,20569,23219
2026-06-01T01:30:00Z,2026-06-01T01:00:00Z,2026-06-01,5,20196,22750
2026-06-01T02:00:00Z,2026-06-01T01:30:00Z,2026-06-01,6,19779,22319
2026-06-01T02:30:00Z,2026-06-01T02:00:00Z,2026-06-01,7,19376,22085
2026-06-01T03:00:00Z,2026-06-01T02:30:00Z,2026-06-01,8,19069,21799
2026-06-01T03:30:00Z,2026-06-01T03:00:00Z,2026-06-01,9,19000,22496
2026-06-01T04:00:00Z,2026-06-01T03:30:00Z,2026-06-01,10,18778,22301
2026-06-01T04:30:00Z,2026-06-01T04:00:00Z,2026-06-01,11,18911,22730
2026-06-01T05:00:00Z,2026-06-01T04:30:00Z,2026-06-01,12,19096,22910
2026-06-01T05:30:00Z,2026-06-01T05:00:00Z,2026-06-01,13,20273,23578
2026-06-01T06:00:00Z,2026-06-01T05:30:00Z,2026-06-01,14,21394,24636
2026-06-01T06:30:00Z,2026-06-01T06:00:00Z,2026-06-01,15,23153,24935
2026-06-01T07:00:00Z,2026-06-01T06:30:00Z,2026-06-01,16,23247,25023
2026-06-01T07:30:00Z,2026-06-01T07:00:00Z,2026-06-01,17,24077,25174
2026-06-01T08:00:00Z,2026-06-01T07:30:00Z,2026-06-01,18,24384,25590
2026-06-01T08:30:00Z,2026-06-01T08:00:00Z,2026-06-01,19,24829,26221
2026-06-01T09:00:00Z,2026-06-01T08:30:00Z,2026-06-01,20,24646,25969
2026-06-01T09:30:00Z,2026-06-01T09:00:00Z,2026-06-01,21,24274,25593
2026-06-01T10:00:00Z,2026-06-01T09:30:00Z,2026-06-01,22,24303,25691
2026-06-01T10:30:00Z,2026-06-01T10:00:00Z,2026-06-01,23,24756,26250
2026-06-01T11:00:00Z,2026-06-01T10:30:00Z,2026-06-01,24,24923,26455
2026-06-01T11:30:00Z,2026-06-01T11:00:00Z,2026-06-01,25,24954,26486
2026-06-01T12:00:00Z,2026-06-01T11:30:00Z,2026-06-01,26,24985,26516
2026-06-01T12:30:00Z,2026-06-01T12:00:00Z,2026-06-01,27,25006,26538
