Year,CalendarWeekNumber,Dataset,PublishTime,FuelType,NgcBmUnit,BmUnit,OutputUsable
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1046
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,0
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,1007
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5405
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1278
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2903
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1426
2026,36,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,10487
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,WIND,,,13059
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,PS,,,1336
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,OTHER,,,2903
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,OCGT,,,1140
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,NUCLEAR,,,5523
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,NPSHYD,,,987
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTVKL,,,1400
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTNSL,,,1400
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTNEM,,,1000
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTNED,,,1000
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTIRL,,,500
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,1000
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,21196
2026,37,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3444
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,BIOMASS,,,3505
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,CCGT,,,21436
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,COAL,,,0
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTELEC,,,1000
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTEW,,,500
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTFR,,,1000
2026,38,FOU2T3YW,2026-06-26T15:00:00Z,INTGRNL,,,504
